MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20181225,Total,70.52,29.48,19.18,9.51,2.80,0.96,2018-12-25,2018-12-31,1
20181218,Total,71.23,28.77,19.37,9.69,3.11,0.96,2018-12-18,2018-12-24,1
20181211,Total,71.52,28.48,19.34,9.69,3.14,0.98,2018-12-11,2018-12-17,1
20181204,Total,71.76,28.24,18.91,9.81,3.17,0.98,2018-12-04,2018-12-10,1
20181127,Total,70.60,29.40,19.48,9.88,3.57,1.10,2018-11-27,2018-12-03,1
20181120,Total,70.95,29.05,19.11,9.91,3.59,1.10,2018-11-20,2018-11-26,1
20181113,Total,69.67,30.33,17.87,9.99,3.58,1.10,2018-11-13,2018-11-19,1
20181106,Total,69.26,30.74,18.13,10.21,3.61,1.12,2018-11-06,2018-11-12,1
20181030,Total,68.48,31.52,18.76,10.83,3.89,1.13,2018-10-30,2018-11-05,1
20181023,Total,67.19,32.81,20.36,11.39,4.01,1.13,2018-10-23,2018-10-29,1
20181016,Total,67.02,32.98,20.47,11.62,4.13,1.13,2018-10-16,2018-10-22,1
20181009,Total,62.86,37.14,22.26,12.37,4.72,1.21,2018-10-09,2018-10-15,1
20181002,Total,59.47,40.53,24.58,14.56,6.08,1.45,2018-10-02,2018-10-08,1
20180925,Total,58.63,41.37,25.06,14.92,6.26,1.45,2018-09-25,2018-10-01,1
20180918,Total,57.20,42.80,26.16,14.16,6.03,1.32,2018-09-18,2018-09-24,1
20180911,Total,57.06,42.94,25.79,13.96,5.75,1.23,2018-09-11,2018-09-17,1
20180904,Total,54.28,45.72,29.10,15.76,6.30,1.24,2018-09-04,2018-09-10,1
20180828,Total,52.47,47.53,29.20,16.20,6.26,1.30,2018-08-28,2018-09-03,1
20180821,Total,51.30,48.70,29.76,15.98,6.30,1.34,2018-08-21,2018-08-27,1
20180814,Total,50.54,49.46,30.70,16.73,6.80,1.42,2018-08-14,2018-08-20,1
20180807,Total,53.78,46.22,30.23,17.61,7.46,1.35,2018-08-07,2018-08-13,1
20180731,Total,53.49,46.51,28.95,16.22,7.11,1.35,2018-07-31,2018-08-06,1
20180724,Total,54.17,45.83,27.36,16.14,7.23,1.35,2018-07-24,2018-07-30,1
20180717,Total,57.04,42.96,26.31,14.02,7.21,1.57,2018-07-17,2018-07-23,1
20180710,Total,58.30,41.70,25.38,13.75,7.38,1.58,2018-07-10,2018-07-16,1
20180703,Total,57.96,42.04,24.83,13.91,6.96,1.57,2018-07-03,2018-07-09,1
20180626,Total,58.23,41.77,24.05,13.31,6.92,1.54,2018-06-26,2018-07-02,1
20180619,Total,59.56,40.44,22.67,13.82,6.88,1.53,2018-06-19,2018-06-25,1
20180612,Total,59.80,40.20,23.28,14.18,7.72,1.65,2018-06-12,2018-06-18,1
20180605,Total,60.96,39.04,22.63,14.26,7.66,1.71,2018-06-05,2018-06-11,1
20180529,Total,64.09,35.91,22.08,14.14,7.72,1.75,2018-05-29,2018-06-04,1
20180522,Total,63.48,36.52,22.32,14.07,7.85,2.00,2018-05-22,2018-05-28,1
20180515,Total,60.14,39.86,23.63,13.96,7.94,2.07,2018-05-15,2018-05-21,1
20180508,Total,61.14,38.86,23.12,13.31,7.78,1.93,2018-05-08,2018-05-14,1
20180501,Total,62.55,37.45,23.90,13.64,7.43,1.84,2018-05-01,2018-05-07,1
20180424,Total,62.77,37.23,24.22,13.66,7.10,1.64,2018-04-24,2018-04-30,1
20180417,Total,62.50,37.50,24.54,13.64,6.84,1.43,2018-04-17,2018-04-23,1
20180410,Total,59.42,40.58,25.24,13.94,6.78,1.10,2018-04-10,2018-04-16,1
20180403,Total,58.55,41.45,25.02,13.68,6.34,0.50,2018-04-03,2018-04-09,1
20180327,Total,55.52,44.48,26.14,13.67,6.07,0.46,2018-03-27,2018-04-02,1
20180320,Total,54.89,45.11,26.35,13.94,5.36,0.17,2018-03-20,2018-03-26,1
20180313,Total,52.16,47.84,26.36,13.62,4.74,0.17,2018-03-13,2018-03-19,1
20180306,Total,51.86,48.14,25.96,12.95,4.13,0.10,2018-03-06,2018-03-12,1
20180227,Total,50.03,49.97,26.15,11.96,2.69,0.00,2018-02-27,2018-03-05,1
20180220,Total,46.15,53.85,30.48,14.84,2.69,0.00,2018-02-20,2018-02-26,1
20180213,Total,45.08,54.92,30.37,15.07,2.47,0.00,2018-02-13,2018-02-19,1
20180206,Total,39.68,60.32,33.14,15.41,2.17,0.00,2018-02-06,2018-02-12,1
20180130,Total,38.07,61.93,32.11,14.38,1.44,0.00,2018-01-30,2018-02-05,1
20180123,Total,47.74,52.26,29.58,11.36,0.75,0.00,2018-01-23,2018-01-29,1
20180116,Total,48.99,51.01,27.62,8.38,0.54,0.00,2018-01-16,2018-01-22,1
20180109,Total,51.60,48.40,26.81,7.27,0.39,0.00,2018-01-09,2018-01-15,1
20180102,Total,53.52,46.48,23.18,6.24,0.69,0.00,2018-01-02,2018-01-08,1
20171226,Total,54.23,45.77,22.07,4.14,0.70,0.00,2017-12-26,2018-01-01,1
